52441 function calls (51748 primitive calls) in 51.543 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Image.py:2231(ImageTransformHandler)
        7    0.000    0.000    0.000    0.000 Image.py:2492(_decompression_bomb_check)
        7    0.000    0.000    0.020    0.003 Image.py:2512(open)
        7    0.000    0.000    0.001    0.000 Image.py:2556(_open_core)
        6    0.000    0.000    0.000    0.000 Image.py:2689(register_open)
        1    0.000    0.000    0.014    0.014 Image.py:27(<module>)
        5    0.000    0.000    0.000    0.000 Image.py:2704(register_mime)
        6    0.000    0.000    0.000    0.000 Image.py:2715(register_save)
        2    0.000    0.000    0.000    0.000 Image.py:2726(register_save_all)
       12    0.000    0.000    0.000    0.000 Image.py:2738(register_extension)
        3    0.000    0.000    0.000    0.000 Image.py:2748(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:2858(_apply_env_variables)
        7    0.000    0.000    0.018    0.003 Image.py:358(preinit)
        1    0.000    0.000    0.000    0.000 Image.py:36(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:39(DecompressionBombError)
        7    0.000    0.000    0.000    0.000 Image.py:418(_getdecoder)
        1    0.000    0.000    0.000    0.000 Image.py:42(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:469(_E)
        1    0.000    0.000    0.000    0.000 Image.py:504(Image)
        7    0.000    0.000    0.000    0.000 Image.py:519(__init__)
        7    0.000    0.000    0.000    0.000 Image.py:586(__del__)
       14    0.000    0.000    0.000    0.000 Image.py:794(load)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        7    0.000    0.000    0.002    0.000 ImageFile.py:130(load)
        7    0.000    0.000    0.000    0.000 ImageFile.py:259(load_prepare)
        1    0.000    0.000    0.000    0.000 ImageFile.py:291(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:321(Parser)
       10    0.000    0.000    0.000    0.000 ImageFile.py:522(_safe_read)
        1    0.000    0.000    0.000    0.000 ImageFile.py:546(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:558(PyDecoder)
        7    0.000    0.000    0.000    0.000 ImageFile.py:66(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:75(ImageFile)
        7    0.000    0.000    0.001    0.000 ImageFile.py:78(__init__)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:23(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        7    0.000    0.000    0.000    0.000 ImageTk.py:137(__str__)
        7    0.000    0.000    0.003    0.000 ImageTk.py:163(paste)
        1    0.000    0.000    0.000    0.000 ImageTk.py:211(BitmapImage)
        1    0.000    0.000    0.000    0.000 ImageTk.py:28(<module>)
        1    0.000    0.000    0.000    0.000 ImageTk.py:77(PhotoImage)
        7    0.000    0.000    0.004    0.001 ImageTk.py:97(__init__)
        7    0.000    0.000    0.000    0.000 JpegImagePlugin.py:292(_accept)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:299(JpegImageFile)
        1    0.000    0.000    0.010    0.010 JpegImagePlugin.py:35(<module>)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:67(<module>)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:115(Cell)
      289    0.001    0.000    0.001    0.000 MyBloxorSloverAI-BFS.py:118(__init__)
      289    0.001    0.000    0.001    0.000 MyBloxorSloverAI-BFS.py:128(Load)
      289    0.000    0.000    0.005    0.000 MyBloxorSloverAI-BFS.py:140(Render)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:16(Solver)
      478    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:164(LegalP)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:179(Board)
      331    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:18(__init__)
        1    0.002    0.002    0.024    0.024 MyBloxorSloverAI-BFS.py:182(__init__)
       17    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:192(<listcomp>)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:194(<listcomp>)
     1345    0.001    0.000    0.001    0.000 MyBloxorSloverAI-BFS.py:216(GetCell)
        1    0.001    0.001    0.008    0.008 MyBloxorSloverAI-BFS.py:228(DrawLevel)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:254(Render2D)
        2    0.000    0.000    0.001    0.000 MyBloxorSloverAI-BFS.py:283(GetMarkedPos)
        1    0.000    0.000   51.543   51.543 MyBloxorSloverAI-BFS.py:3(<module>)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:304(GetStartPos)
      289    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:305(f)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:308(GetEndPos)
      289    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:309(f)
       83    0.001    0.000    0.001    0.000 MyBloxorSloverAI-BFS.py:312(FilterPositions)
        1    0.001    0.001    0.004    0.004 MyBloxorSloverAI-BFS.py:327(PathFind)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:332(<listcomp>)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:370(GameBoard)
        1    0.000    0.000    0.144    0.144 MyBloxorSloverAI-BFS.py:372(__init__)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:38(BlockPos)
      330    0.001    0.000    0.001    0.000 MyBloxorSloverAI-BFS.py:40(__init__)
